상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,트레이닝,레깅스,51,블랙,"[11.741069146536603, 15.78286770343945, 16.993394019229527]",https://a-bly.com/app/goods/587310,30,./images/ably/Leggings/Leggings_121.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[170.0624575066447, 153.22853699239522, 146.77541875270305]",https://a-bly.com/app/goods/2470894,상세페이지 참조,./images/ably/Leggings/Leggings_122.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[208.46547678764938, 214.43015259146833, 210.91080761824134]",https://a-bly.com/app/goods/2520461,상세페이지 참조,./images/ably/Leggings/Leggings_123.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[47.63512610149323, 36.28131267092405, 36.932057125495874]",https://a-bly.com/app/goods/354726,상세페이지 참조,./images/ably/Leggings/Leggings_124.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[223.38985465461212, 214.7484524193179, 212.98495666773488]",https://a-bly.com/app/goods/1979142,상세페이지 참조,./images/ably/Leggings/Leggings_125.jpg
의류,트레이닝,레깅스,상세페이지 참조,블랙(Black),"[162.59085591733265, 160.96888282316297, 154.43957886527485]",https://a-bly.com/app/goods/423375,상세페이지 참조,./images/ably/Leggings/Leggings_126.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[157.91942754113194, 136.31567876192423, 113.34452708286206]",https://a-bly.com/app/goods/1835827,상세페이지 참조,./images/ably/Leggings/Leggings_127.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[31.517568230108637, 31.221686550086062, 31.54774745328818]",https://a-bly.com/app/goods/3368534,상세페이지 참조,./images/ably/Leggings/Leggings_128.jpg
의류,트레이닝,레깅스,88.5,"블랙,그레이","[146.67049753729796, 139.78792205011084, 132.906940776169]",https://a-bly.com/app/goods/573502,18.5,./images/ably/Leggings/Leggings_129.jpg
의류,트레이닝,레깅스,102,"블랙,그레이,화이트","[18.290813820219483, 22.969579535320406, 29.058402925625558]",https://a-bly.com/app/goods/2344026,31,./images/ably/Leggings/Leggings_130.jpg
의류,트레이닝,레깅스,86,"블랙, 그레이, 네이비, 핑크, 퍼플","[229.2227339463774, 226.73737732787635, 227.7441156015794]",https://a-bly.com/app/goods/1982445,25,./images/ably/Leggings/Leggings_131.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[180.6710141757962, 168.15446249279373, 152.67946398393477]",https://a-bly.com/app/goods/303277,상세페이지 참조,./images/ably/Leggings/Leggings_132.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[145.40355866825385, 147.88221910162312, 147.94409584585102]",https://a-bly.com/app/goods/473823,상세페이지 참조,./images/ably/Leggings/Leggings_133.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[210.9340534034412, 194.28241107345195, 181.854550061776]",https://a-bly.com/app/goods/1445083,상세페이지 참조,./images/ably/Leggings/Leggings_134.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[157.92670907449246, 151.17114304786423, 139.4063886598356]",https://a-bly.com/app/goods/310553,상세페이지 참조,./images/ably/Leggings/Leggings_135.jpg
의류,트레이닝,레깅스,상세페이지 참조,"그레이,블랙,핑크,퍼플","[181.67797003832464, 162.4436476599706, 149.7688131459771]",https://a-bly.com/app/goods/2467361,상세페이지 참조,./images/ably/Leggings/Leggings_136.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[95.67694743508505, 67.41355288157797, 53.035022165931075]",https://a-bly.com/app/goods/1663082,상세페이지 참조,./images/ably/Leggings/Leggings_137.jpg
의류,트레이닝,레깅스,상세페이지 참조,"아이보리,메란지,차콜,블랙","[30.482397636114086, 42.27399746728216, 53.12207682565587]",https://a-bly.com/app/goods/535774,상세페이지 참조,./images/ably/Leggings/Leggings_138.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[34.37030895221294, 30.689083348218205, 29.403500267883516]",https://a-bly.com/app/goods/1481738,상세페이지 참조,./images/ably/Leggings/Leggings_139.jpg
의류,트레이닝,레깅스,89,"블랙, 아이보리, 그레이","[31.945528712585855, 32.215318071514815, 34.104300734968064]",https://a-bly.com/app/goods/1693658,20,./images/ably/Leggings/Leggings_140.jpg
의류,트레이닝,레깅스,97,"레드,그레이,블랙","[166.32897406989764, 152.6706031567084, 151.94875986471249]",https://a-bly.com/app/goods/903281,32,./images/ably/Leggings/Leggings_141.jpg
의류,트레이닝,레깅스,상세페이지 참조,"블랙,차콜,네이비","[15.918601808838702, 14.528232705932567, 14.131569298449449]",https://a-bly.com/app/goods/1381534,상세페이지 참조,./images/ably/Leggings/Leggings_142.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[37.77677921855215, 28.141952325924393, 40.50738220567726]",https://a-bly.com/app/goods/1458088,상세페이지 참조,./images/ably/Leggings/Leggings_143.jpg
의류,트레이닝,레깅스,88,"아이,그레이,블랙","[139.05201780702728, 133.36308429304057, 124.55680828413821]",https://a-bly.com/app/goods/308373,25.5,./images/ably/Leggings/Leggings_144.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[133.018143344175, 134.7735412829678, 140.6845487675842]",https://a-bly.com/app/goods/2470891,상세페이지 참조,./images/ably/Leggings/Leggings_145.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[32.666762300961146, 44.18777793716889, 46.7025056185132]",https://a-bly.com/app/goods/1663054,상세페이지 참조,./images/ably/Leggings/Leggings_146.jpg
의류,트레이닝,레깅스,92,"블랙,네이비","[175.71181715647856, 173.27728714008725, 169.29482241280198]",https://a-bly.com/app/goods/1722949,26,./images/ably/Leggings/Leggings_147.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[30.478568651908176, 29.68936309512864, 32.11465515477863]",https://a-bly.com/app/goods/1525096,상세페이지 참조,./images/ably/Leggings/Leggings_148.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[234.07872985135904, 234.94219425170394, 233.98163986157704]",https://a-bly.com/app/goods/2293229,상세페이지 참조,./images/ably/Leggings/Leggings_149.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[194.26835730506662, 194.90172218016414, 194.80974640423048]",https://a-bly.com/app/goods/3302054,상세페이지 참조,./images/ably/Leggings/Leggings_150.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[160.44009273826262, 159.54129336755904, 158.1087852943621]",https://a-bly.com/app/goods/3576738,상세페이지 참조,./images/ably/Leggings/Leggings_151.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[40.934094947959494, 40.0323940086337, 48.30459507488766]",https://a-bly.com/app/goods/1607261,상세페이지 참조,./images/ably/Leggings/Leggings_152.jpg
의류,트레이닝,레깅스,84,그레이 / 블랙 / 아이,"[147.71361281205338, 159.09613529820524, 144.61070363143253]",https://a-bly.com/app/goods/1206923,26,./images/ably/Leggings/Leggings_153.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[39.76577078738909, 27.98269636236482, 18.737149504397465]",https://a-bly.com/app/goods/496653,상세페이지 참조,./images/ably/Leggings/Leggings_154.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[162.3121802483236, 145.68988668514035, 125.95438087280021]",https://a-bly.com/app/goods/3548727,상세페이지 참조,./images/ably/Leggings/Leggings_155.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[175.02187694220066, 169.45734410606997, 166.53799461363215]",https://a-bly.com/app/goods/1304509,상세페이지 참조,./images/ably/Leggings/Leggings_156.jpg
의류,트레이닝,레깅스,상세페이지 참조,상세페이지 참조,"[31.886265529589707, 30.84125605391189, 31.784981048644326]",https://a-bly.com/app/goods/496323,상세페이지 참조,./images/ably/Leggings/Leggings_157.jpg
