상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,상의,후드,53,화이트,"[168.50296034083001, 149.6592475408818, 126.94458367270207]",https://a-bly.com/app/goods/2937054,54.5,./images/ably/Hood/Hood_31.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[212.87525904670022, 204.21927307507755, 180.41283277539605]",https://a-bly.com/app/goods/1214969,상세페이지 참조,./images/ably/Hood/Hood_32.jpg
의류,상의,후드,44.5,"블랙, 그레이, 브라운, 아이보리","[24.402973016640885, 27.02476744454144, 31.80903907855081]",https://a-bly.com/app/goods/1912861,57,./images/ably/Hood/Hood_33.jpg
의류,상의,후드,68,"오트밀, 네이비, 그레이","[174.6234905445413, 153.34745955798766, 129.8356117566645]",https://a-bly.com/app/goods/1993020,51,./images/ably/Hood/Hood_34.jpg
의류,상의,후드,38,"다크그레이,아이보리","[39.62404788822556, 39.40953316408387, 37.44266943420868]",https://a-bly.com/app/goods/3645238,54,./images/ably/Hood/Hood_35.jpg
의류,상의,후드,상세페이지 참조,"라이트그레이, 블랙","[125.09863687501598, 121.31739096308208, 110.2753983412263]",https://a-bly.com/app/goods/4215518,상세페이지 참조,./images/ably/Hood/Hood_36.jpg
의류,상의,후드,70,"네이비, 메란지","[34.57967660448304, 37.780202991948016, 46.728517190778874]",https://a-bly.com/app/goods/3759187,53,./images/ably/Hood/Hood_37.jpg
의류,상의,후드,71,상품 상세페이지 참조,"[177.45616167227982, 172.15639431924706, 166.273446994687]",https://a-bly.com/app/goods/2902080,55,./images/ably/Hood/Hood_38.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[23.50177299300526, 25.73453023670055, 30.247132862674377]",https://a-bly.com/app/goods/4139795,상세페이지 참조,./images/ably/Hood/Hood_39.jpg
의류,상의,후드,69,백염 / 초록 / 네이비,"[210.96802730900336, 212.84540923441816, 208.03287017003362]",https://a-bly.com/app/goods/2946385,57,./images/ably/Hood/Hood_40.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[13.514051841746777, 11.81579505836541, 12.847930877672553]",https://a-bly.com/app/goods/4026416,상세페이지 참조,./images/ably/Hood/Hood_41.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[168.14401541679396, 159.93532466922008, 130.5187657164336]",https://a-bly.com/app/goods/2023794,상세페이지 참조,./images/ably/Hood/Hood_42.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[139.42634290157557, 134.60495367070672, 128.70864381519982]",https://a-bly.com/app/goods/1903426,상세페이지 참조,./images/ably/Hood/Hood_43.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[162.2580317836959, 158.36399825158455, 152.0953354772223]",https://a-bly.com/app/goods/2852251,상세페이지 참조,./images/ably/Hood/Hood_44.jpg
의류,상의,후드,42,"아이보리, 겨자, 그레이, 블랙","[136.43449908056672, 126.89624055030232, 111.26571545324654]",https://a-bly.com/app/goods/3598795,57,./images/ably/Hood/Hood_45.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[163.5955680606772, 156.87979937435557, 153.46367592317375]",https://a-bly.com/app/goods/2553912,상세페이지 참조,./images/ably/Hood/Hood_46.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[144.4742319599915, 123.34358180519251, 117.46132412479096]",https://a-bly.com/app/goods/3572051,상세페이지 참조,./images/ably/Hood/Hood_47.jpg
의류,상의,후드,74,"블랙, 백오트","[32.30354128687223, 37.44569914252273, 39.115944230645866]",https://a-bly.com/app/goods/3950627,55,./images/ably/Hood/Hood_48.jpg
의류,상의,후드,70,"크림, 백염, 곤색","[160.23941846308065, 159.19762944925824, 150.50343765666443]",https://a-bly.com/app/goods/2898917,54,./images/ably/Hood/Hood_49.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[139.6466501624636, 139.5973851152717, 137.49333127030815]",https://a-bly.com/app/goods/1961240,상세페이지 참조,./images/ably/Hood/Hood_50.jpg
의류,상의,후드,72,"아이보리, 블랙","[122.84529828109176, 120.67242654271669, 114.57950892655265]",https://a-bly.com/app/goods/2746046,59,./images/ably/Hood/Hood_51.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[226.9394420750335, 219.03155191922787, 207.73239620506564]",https://a-bly.com/app/goods/1282000,상세페이지 참조,./images/ably/Hood/Hood_52.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[72.71359069016249, 54.891621641451806, 54.99061193555873]",https://a-bly.com/app/goods/3872413,상세페이지 참조,./images/ably/Hood/Hood_53.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[26.379295049496363, 27.65036039603082, 32.536380198018975]",https://a-bly.com/app/goods/3801022,상세페이지 참조,./images/ably/Hood/Hood_54.jpg
의류,상의,후드,72,상세페이지 참조,"[151.13110125851946, 150.09648686799923, 148.20357078951233]",https://a-bly.com/app/goods/2850945,54,./images/ably/Hood/Hood_55.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[72.4942550565116, 71.47083847687146, 80.77375367962415]",https://a-bly.com/app/goods/4141252,상세페이지 참조,./images/ably/Hood/Hood_56.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[223.884568948637, 224.92902825816972, 222.38190954774353]",https://a-bly.com/app/goods/3024295,상세페이지 참조,./images/ably/Hood/Hood_57.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[225.96045197740153, 229.71801262878023, 232.4903622465938]",https://a-bly.com/app/goods/4141254,상세페이지 참조,./images/ably/Hood/Hood_58.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[176.93296692348557, 180.09909670563255, 185.03639744952372]",https://a-bly.com/app/goods/3108575,상세페이지 참조,./images/ably/Hood/Hood_59.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[172.70810655337948, 176.34667463162702, 182.99920350458478]",https://a-bly.com/app/goods/3878875,상세페이지 참조,./images/ably/Hood/Hood_60.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[72.9490561334344, 52.86532055203865, 51.49298615360513]",https://a-bly.com/app/goods/3872388,상세페이지 참조,./images/ably/Hood/Hood_61.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[188.70957341269852, 183.72149884259522, 189.1606316137557]",https://a-bly.com/app/goods/3168859,상세페이지 참조,./images/ably/Hood/Hood_62.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[30.35081792317851, 29.369310099578954, 35.4208101642335]",https://a-bly.com/app/goods/3964037,상세페이지 참조,./images/ably/Hood/Hood_63.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[113.66350320414875, 92.46222154409563, 67.16121452548347]",https://a-bly.com/app/goods/2768216,상세페이지 참조,./images/ably/Hood/Hood_64.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[22.27671532275457, 36.74812660995113, 38.755366481921214]",https://a-bly.com/app/goods/3659259,상세페이지 참조,./images/ably/Hood/Hood_65.jpg
의류,상의,후드,71,"화이트, 베이지, 카키, 블랙","[126.13899922334355, 114.46290913125615, 105.42673915455582]",https://a-bly.com/app/goods/2874853,54,./images/ably/Hood/Hood_66.jpg
