상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[222.75481494206866, 216.1809158411143, 210.57370822119228]",https://a-bly.com/app/goods/274297,상세페이지 참조,./images/ably/field/field_124.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[189.43345928794895, 183.56566381275644, 178.89386329937707]",https://a-bly.com/app/goods/1986650,상세페이지 참조,./images/ably/field/field_125.jpg
의류,아우터,야상,69,"베이지, 차콜","[92.84369082457987, 66.70778102943737, 52.78804441383768]",https://a-bly.com/app/goods/3659758,52,./images/ably/field/field_126.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[211.70574945282263, 212.15664493657715, 211.2043256218921]",https://a-bly.com/app/goods/655848,상세페이지 참조,./images/ably/field/field_127.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,[],https://a-bly.com/app/goods/1223157,상세페이지 참조,./images/ably/field/field_128.jpg
의류,아우터,야상,44,화이트 브라운 먹색,"[148.78372657020682, 157.6519442617583, 169.94720075633185]",https://a-bly.com/app/goods/1240374,54,./images/ably/field/field_129.jpg
의류,아우터,야상,98,"카키, 블랙","[107.88842600978191, 102.98252128237873, 81.74649067198673]",https://a-bly.com/app/goods/3250490,64,./images/ably/field/field_130.jpg
의류,아우터,야상,69,상세페이지 참조,"[132.9229757535913, 117.96996245306572, 100.83074181709995]",https://a-bly.com/app/goods/622866,61,./images/ably/field/field_131.jpg
의류,아우터,야상,59,화이트 카키,"[157.86138283449824, 144.60012514339306, 127.73281885493914]",https://a-bly.com/app/goods/225003,57,./images/ably/field/field_132.jpg
의류,아우터,야상,상세페이지 참조,"화이트, 차콜","[160.86338848753226, 141.11561407597455, 129.09489629456658]",https://a-bly.com/app/goods/1218720,상세페이지 참조,./images/ably/field/field_133.jpg
의류,아우터,야상,61,"크림, 베이지, 차콜, 블랙","[149.9415130726168, 138.93582245265696, 118.60443868357027]",https://a-bly.com/app/goods/3807385,52,./images/ably/field/field_134.jpg
의류,아우터,야상,57,"블랙, 아이보리(품절), 카키(품절)","[210.4243047979781, 210.65210052899178, 217.47959162670355]",https://a-bly.com/app/goods/1242373,56,./images/ably/field/field_135.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[133.04734273713728, 127.2167083444649, 115.39784894024692]",https://a-bly.com/app/goods/2884057,상세페이지 참조,./images/ably/field/field_136.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[121.10089203864452, 122.45841266483637, 128.4160672731117]",https://a-bly.com/app/goods/3829511,상세페이지 참조,./images/ably/field/field_137.jpg
의류,아우터,야상,상세페이지 참조,상세페이지 참조,"[193.25210698215432, 189.85590297603807, 178.29963684535122]",https://a-bly.com/app/goods/1470280,상세페이지 참조,./images/ably/field/field_138.jpg
