상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,아우터,가디건,숏,"아이보리, 블랙","[198.72023101423753, 190.15495606124531, 182.40327717870971]",https://a-bly.com/app/goods/4104439,57.0,./images/ably/Cardigan/Cardigan_33.jpg
의류,아우터,가디건,0,0,"[202.70560722967932, 201.26815347215097, 199.18256526794187]",https://a-bly.com/app/goods/3951337,0.0,./images/ably/Cardigan/Cardigan_34.jpg
의류,아우터,가디건,숏,"블랙, 퍼플, 화이트","[219.51596706907728, 209.032303318924, 207.4569535201435]",https://a-bly.com/app/goods/4145885,45.0,./images/ably/Cardigan/Cardigan_35.jpg
의류,아우터,가디건,0,0,"[165.38700564971958, 157.93244278464556, 146.10469533021072]",https://a-bly.com/app/goods/2509602,0.0,./images/ably/Cardigan/Cardigan_36.jpg
의류,아우터,가디건,0,0,"[33.83263848546662, 37.80516351705967, 44.633735433817264]",https://a-bly.com/app/goods/4148953,0.0,./images/ably/Cardigan/Cardigan_37.jpg
의류,아우터,가디건,0,0,"[136.1637354085591, 134.61611759619473, 138.79373973194961]",https://a-bly.com/app/goods/2570735,0.0,./images/ably/Cardigan/Cardigan_38.jpg
의류,아우터,가디건,0,0,"[106.71657531657641, 90.7529578529572, 77.97563787563803]",https://a-bly.com/app/goods/4036806,0.0,./images/ably/Cardigan/Cardigan_39.jpg
의류,아우터,가디건,숏,0,"[176.55148079812753, 169.18926064710055, 161.7317444315513]",https://a-bly.com/app/goods/4136083,62.0,./images/ably/Cardigan/Cardigan_40.jpg
의류,아우터,가디건,숏,"블랙, 옐로우, 모카, 베이지, 브릭, 소라, 아이보리, 연두","[133.7645557599827, 133.25989672977607, 116.05047777316062]",https://a-bly.com/app/goods/4046306,21.0,./images/ably/Cardigan/Cardigan_41.jpg
의류,아우터,가디건,숏,"화이트, 핑크, 민트, 퍼플, 블랙","[148.36328250217576, 115.93357604066787, 112.31831295507386]",https://a-bly.com/app/goods/4033745,17.0,./images/ably/Cardigan/Cardigan_42.jpg
의류,아우터,가디건,0,0,"[34.77227152486422, 38.63663708508406, 40.22267258297579]",https://a-bly.com/app/goods/4118781,0.0,./images/ably/Cardigan/Cardigan_43.jpg
의류,아우터,가디건,0,0,"[91.80397407744697, 103.25686894113599, 101.66172138609934]",https://a-bly.com/app/goods/4422285,0.0,./images/ably/Cardigan/Cardigan_44.jpg
의류,아우터,가디건,노멀,0,"[161.00239319269662, 166.9525793299092, 153.794052472962]",https://a-bly.com/app/goods/4102133,17.0,./images/ably/Cardigan/Cardigan_45.jpg
의류,아우터,가디건,숏,0,"[157.94765858970902, 136.9173926853616, 124.5759823940466]",https://a-bly.com/app/goods/4150546,9.0,./images/ably/Cardigan/Cardigan_46.jpg
의류,아우터,가디건,0,0,"[79.49443413729348, 66.51683875130999, 53.19885859482568]",https://a-bly.com/app/goods/4295391,0.0,./images/ably/Cardigan/Cardigan_47.jpg
의류,아우터,가디건,0,0,"[164.76670184591484, 153.09737350405263, 124.795416077584]",https://a-bly.com/app/goods/2504356,0.0,./images/ably/Cardigan/Cardigan_48.jpg
의류,아우터,가디건,숏,"아이보리, 벽돌, 겨자, 카키, 네이비, 블랙","[162.58934682338918, 149.10382383573736, 139.92161880672452]",https://a-bly.com/app/goods/4144181,15.0,./images/ably/Cardigan/Cardigan_49.jpg
의류,아우터,가디건,0,0,"[132.6859581984104, 121.01297223039919, 109.23958394661989]",https://a-bly.com/app/goods/2412459,0.0,./images/ably/Cardigan/Cardigan_50.jpg
의류,아우터,가디건,0,0,[],https://a-bly.com/app/goods/4435092,0.0,./images/ably/Cardigan/Cardigan_51.jpg
의류,아우터,가디건,0,0,"[148.50668927061412, 138.84129577810495, 101.01826017688145]",https://a-bly.com/app/goods/4133056,0.0,./images/ably/Cardigan/Cardigan_52.jpg
의류,아우터,가디건,숏,"화이트, 민트","[148.84710564157464, 147.22935825836794, 139.19138547971775]",https://a-bly.com/app/goods/4277201,54.0,./images/ably/Cardigan/Cardigan_53.jpg
의류,아우터,가디건,노멀,"그레이, 마베이지, 핑크, 라이트카키, 소라","[223.80245105730629, 213.55738019281455, 199.49521468541948]",https://a-bly.com/app/goods/2224617,24.5,./images/ably/Cardigan/Cardigan_54.jpg
의류,아우터,가디건,0,0,"[130.23818222767252, 114.53844998874109, 106.74274918044817]",https://a-bly.com/app/goods/4225306,0.0,./images/ably/Cardigan/Cardigan_55.jpg
의류,아우터,가디건,0,0,"[164.77863918717196, 148.53515192372444, 131.10747821062233]",https://a-bly.com/app/goods/4353298,0.0,./images/ably/Cardigan/Cardigan_56.jpg
의류,아우터,가디건,숏,"블랙, 아이보리, 베이지, 그레이","[141.2981314508418, 130.1936465983031, 126.13392662975143]",https://a-bly.com/app/goods/2730433,9.5,./images/ably/Cardigan/Cardigan_57.jpg
의류,아우터,가디건,0,0,"[26.828292081072775, 25.27114334854315, 26.746485455764258]",https://a-bly.com/app/goods/2507502,0.0,./images/ably/Cardigan/Cardigan_58.jpg
의류,아우터,가디건,0,"카키,아이보리,블랙","[134.66565643941425, 124.32237705429617, 115.94207336124806]",https://a-bly.com/app/goods/4254786,0.0,./images/ably/Cardigan/Cardigan_59.jpg
의류,아우터,가디건,0,0,"[212.1646655510149, 188.09561487596162, 166.91580691807235]",https://a-bly.com/app/goods/4379805,0.0,./images/ably/Cardigan/Cardigan_60.jpg
의류,아우터,가디건,숏,"아이보리, 베이지, 소라, 블랙","[135.9215604681437, 119.89123537060763, 111.34286085826153]",https://a-bly.com/app/goods/4110872,60.0,./images/ably/Cardigan/Cardigan_61.jpg
의류,아우터,가디건,0,0,"[74.86537181581308, 12.974405518251643, 17.425394808496122]",https://a-bly.com/app/goods/4224378,0.0,./images/ably/Cardigan/Cardigan_62.jpg
의류,아우터,가디건,숏,"아이보리, 베이지, 옐로우, 핑크, 브라운, 그린, 소라, 블랙","[210.81754345353227, 217.4849624785432, 230.37737523391874]",https://a-bly.com/app/goods/3989016,68.0,./images/ably/Cardigan/Cardigan_63.jpg
의류,아우터,가디건,0,0,"[45.26473779384679, 43.20536467750679, 42.624593128394594]",https://a-bly.com/app/goods/4029062,0.0,./images/ably/Cardigan/Cardigan_64.jpg
